run,real,sys,user
1,6.71,0.00,6.71
2,6.71,0.00,6.71
3,6.71,0.00,6.71
4,6.72,0.00,6.71
5,6.71,0.00,6.71
6,6.71,0.00,6.71
7,6.71,0.00,6.71
8,6.71,0.00,6.71
9,6.72,0.00,6.72
10,6.71,0.00,6.71
11,6.71,0.00,6.71
12,6.71,0.00,6.71
13,6.72,0.00,6.71
14,6.71,0.00,6.71
15,6.71,0.00,6.71
16,6.71,0.00,6.71
17,6.71,0.00,6.71
18,6.73,0.00,6.73
19,6.71,0.00,6.71
20,6.71,0.00,6.71
21,6.71,0.00,6.71
22,6.72,0.00,6.72
23,6.71,0.00,6.71
24,6.71,0.00,6.71
25,6.72,0.00,6.72
26,6.71,0.00,6.71
27,6.71,0.00,6.71
28,6.71,0.00,6.71
29,6.72,0.00,6.72
30,6.71,0.00,6.71
31,6.71,0.00,6.71
32,6.71,0.00,6.71
33,6.71,0.00,6.71
34,6.72,0.00,6.72
35,6.71,0.00,6.71
36,6.72,0.00,6.72
37,6.71,0.00,6.71
38,6.72,0.00,6.72
39,6.71,0.00,6.71
40,6.72,0.00,6.72
41,6.71,0.00,6.71
42,6.71,0.00,6.71
43,6.71,0.00,6.71
44,6.71,0.00,6.71
45,6.71,0.00,6.71
46,6.71,0.00,6.71
47,6.72,0.00,6.72
48,6.71,0.00,6.71
49,6.72,0.00,6.72
50,6.71,0.00,6.71
